code_article,libelle,region,site,agence,famille,sous_famille,sous_famille_base,quantite,CA
ART20814,Gamme Plus,Est,Site Est 1,Site Est 1-Ag3,Isolation,Vrac,Vrac,596,7248.51
ART99837,Ligne Basic,Sud,Site Sud 1,Site Sud 1-Ag2,Outillage,Manuel,Manuel,349,10173.88
ART64715,Ligne Basic,Ouest,Site Ouest 1,Site Ouest 1-Ag1,Isolation,Panneaux,Panneaux,125,1335.6
ART25325,Set Expert,Ouest,Site Ouest 2,Site Ouest 2-Ag2,Plâtre,Enduits,Enduits,215,3752.31
ART68578,Ligne Basic,Est,Site Est 3,Site Est 3-Ag4,Isolation,Vrac,Vrac,687,12349.35
ART55639,Set Expert,Est,Site Est 1,Site Est 1-Ag1,Isolation,Laine,Laine,674,10456.67
ART23861,Cadre Alu,Île-de-France,Site Île-de-France 1,Site Île-de-France 1-Ag4,Plâtre,Enduits,Enduits,387,11536.45
ART55735,Gamme Plus,Île-de-France,Site Île-de-France 1,Site Île-de-France 1-Ag1,Isolation,Vrac,Vrac,525,4879.41
ART16662,Gamme Plus,Île-de-France,Site Île-de-France 1,Site Île-de-France 1-Ag2,Plâtre,Profilés,Profilés,689,9154.22
ART31454,Battant Pro,Ouest,Site Ouest 2,Site Ouest 2-Ag4,Menuiserie,Volets,Volets,389,30818.56
ART69131,Gamme Plus,Nord,Site Nord 3,Site Nord 3-Ag3,Outillage,Mesure,Mesure,35,461.72
ART19170,Bloc Confort,Nord,Site Nord 3,Site Nord 3-Ag1,Couverture,Étanchéité,Étanchéité,517,9571.16
ART78367,Kit Standard,Sud,Site Sud 2,Site Sud 2-Ag1,Couverture,Zinguerie,Zinguerie,4,46.44
ART80164,Gamme Plus,Ouest,Site Ouest 2,Site Ouest 2-Ag2,Couverture,Zinguerie,Zinguerie,470,1957.86
ART87969,Cheneau Eco,Île-de-France,Site Île-de-France 2,Site Île-de-France 2-Ag4,Outillage,Mesure,Mesure,413,12643.62
ART67441,Cadre Alu,Ouest,Site Ouest 2,Site Ouest 2-Ag4,Menuiserie,Fenêtres,Fenêtres,240,18048.66
ART54621,Ligne Basic,Ouest,Site Ouest 1,Site Ouest 1-Ag2,Plâtre,Enduits,Enduits,96,1211.84
ART59932,Battant Pro,Sud,Site Sud 2,Site Sud 2-Ag1,Plâtre,Enduits,Enduits,94,1000.06
ART96609,Gamme Plus,Sud,Site Sud 3,Site Sud 3-Ag4,Plâtre,Profilés,Profilés,444,5138.55
ART90177,Ligne Basic,Est,Site Est 2,Site Est 2-Ag2,Plâtre,Profilés,Profilés,199,3586.08
ART86914,Cheneau Eco,Sud,Site Sud 1,Site Sud 1-Ag2,Plâtre,Profilés,Profilés,519,10116.16
ART32553,Gamme Plus,Sud,Site Sud 1,Site Sud 1-Ag3,Outillage,Électroportatif,Électroportatif,109,5773.43
ART33009,Gamme Plus,Est,Site Est 2,Site Est 2-Ag3,Isolation,Panneaux,Panneaux,307,4433.51
ART48442,Set Expert,Ouest,Site Ouest 1,Site Ouest 1-Ag1,Couverture,Tuiles,Tuiles,551,3393.9
ART76531,Battant Pro,Sud,Site Sud 3,Site Sud 3-Ag4,Couverture,Étanchéité,Étanchéité,359,4551.29
ART81113,Cadre Alu,Sud,Site Sud 1,Site Sud 1-Ag3,Menuiserie,Volets,Volets,173,4454.37
ART50434,Cheneau Eco,Nord,Site Nord 3,Site Nord 3-Ag3,Menuiserie,Fenêtres,Fenêtres,79,4433.85
ART47329,Gamme Plus,Île-de-France,Site Île-de-France 1,Site Île-de-France 1-Ag1,Outillage,Manuel,Manuel,276,9116.01
ART59603,Gamme Plus,Nord,Site Nord 2,Site Nord 2-Ag2,Menuiserie,Volets,Volets,356,15018.89
ART87693,Set Expert,Est,Site Est 3,Site Est 3-Ag2,Couverture,Zinguerie,Zinguerie,182,948.57
ART87756,Set Expert,Sud,Site Sud 2,Site Sud 2-Ag2,Outillage,Mesure,Mesure,232,10147.44
ART93959,Cheneau Eco,Nord,Site Nord 1,Site Nord 1-Ag1,Menuiserie,Portes,Portes,34,1167.53
ART30764,Bloc Confort,Île-de-France,Site Île-de-France 1,Site Île-de-France 1-Ag3,Menuiserie,Volets,Volets,78,7031.54
ART90702,Gamme Plus,Ouest,Site Ouest 2,Site Ouest 2-Ag1,Couverture,Zinguerie,Zinguerie,4,94.05
ART91847,Ligne Basic,Île-de-France,Site Île-de-France 3,Site Île-de-France 3-Ag3,Couverture,Tuiles,Tuiles,178,3772.79
ART36679,Cheneau Eco,Nord,Site Nord 1,Site Nord 1-Ag3,Outillage,Mesure,Mesure,569,13891.02
ART44499,Battant Pro,Est,Site Est 3,Site Est 3-Ag2,Plâtre,Enduits,Enduits,223,1084.88
ART21175,Ligne Basic,Ouest,Site Ouest 3,Site Ouest 3-Ag2,Menuiserie,Portes,Portes,507,43081.89
ART81491,Bloc Confort,Nord,Site Nord 1,Site Nord 1-Ag1,Plâtre,Plaques,Plaques,89,486.19
ART44935,Cheneau Eco,Nord,Site Nord 2,Site Nord 2-Ag3,Couverture,Tuiles,Tuiles,3,10.0
ART74944,Battant Pro,Est,Site Est 1,Site Est 1-Ag2,Couverture,Tuiles,Tuiles,616,6167.42
ART14672,Bloc Confort,Est,Site Est 1,Site Est 1-Ag1,Plâtre,Plaques,Plaques,207,2823.45
ART57272,Kit Standard,Nord,Site Nord 1,Site Nord 1-Ag3,Outillage,Mesure,Mesure,611,10310.65
ART23480,Kit Standard,Ouest,Site Ouest 3,Site Ouest 3-Ag4,Isolation,Panneaux,Panneaux,508,7216.56
ART94551,Battant Pro,Île-de-France,Site Île-de-France 2,Site Île-de-France 2-Ag2,Plâtre,Profilés,Profilés,9,265.63
ART33884,Cheneau Eco,Ouest,Site Ouest 2,Site Ouest 2-Ag4,Couverture,Zinguerie,Zinguerie,277,4381.01
ART89198,Set Expert,Ouest,Site Ouest 2,Site Ouest 2-Ag2,Menuiserie,Fenêtres,Fenêtres,601,39749.69
ART58054,Gamme Plus,Ouest,Site Ouest 2,Site Ouest 2-Ag3,Couverture,Zinguerie,Zinguerie,265,3749.44
ART55258,Battant Pro,Île-de-France,Site Île-de-France 3,Site Île-de-France 3-Ag4,Plâtre,Enduits,Enduits,74,2087.7
ART82447,Set Expert,Nord,Site Nord 3,Site Nord 3-Ag2,Outillage,Manuel,Manuel,520,5893.63
ART44620,Kit Standard,Île-de-France,Site Île-de-France 2,Site Île-de-France 2-Ag3,Couverture,Zinguerie,Zinguerie,276,4178.22
ART42641,Kit Standard,Nord,Site Nord 2,Site Nord 2-Ag2,Isolation,Panneaux,Panneaux,654,9386.71
ART75452,Cheneau Eco,Ouest,Site Ouest 1,Site Ouest 1-Ag4,Menuiserie,Volets,Volets,114,5339.69
ART97807,Cheneau Eco,Nord,Site Nord 2,Site Nord 2-Ag1,Menuiserie,Portes,Portes,527,37679.51
ART18085,Ligne Basic,Est,Site Est 1,Site Est 1-Ag2,Plâtre,Plaques,Plaques,328,3063.79
ART38141,Gamme Plus,Sud,Site Sud 1,Site Sud 1-Ag2,Isolation,Vrac,Vrac,347,1763.1
ART62973,Battant Pro,Sud,Site Sud 2,Site Sud 2-Ag4,Couverture,Étanchéité,Étanchéité,631,11898.22
ART76865,Bloc Confort,Est,Site Est 3,Site Est 3-Ag4,Menuiserie,Fenêtres,Fenêtres,213,7460.38
ART43749,Bloc Confort,Est,Site Est 1,Site Est 1-Ag4,Plâtre,Enduits,Enduits,116,975.04
ART12714,Gamme Plus,Est,Site Est 1,Site Est 1-Ag4,Isolation,Vrac,Vrac,207,2187.7
ART44640,Cadre Alu,Nord,Site Nord 3,Site Nord 3-Ag1,Outillage,Manuel,Manuel,659,8443.29
ART89108,Set Expert,Nord,Site Nord 1,Site Nord 1-Ag1,Couverture,Zinguerie,Zinguerie,126,1387.36
ART39977,Cheneau Eco,Nord,Site Nord 3,Site Nord 3-Ag1,Couverture,Zinguerie,Zinguerie,612,5738.91
ART35399,Kit Standard,Sud,Site Sud 1,Site Sud 1-Ag3,Menuiserie,Volets,Volets,658,50759.02
ART26425,Ligne Basic,Est,Site Est 2,Site Est 2-Ag1,Plâtre,Enduits,Enduits,376,5002.36
ART24795,Cadre Alu,Nord,Site Nord 3,Site Nord 3-Ag1,Plâtre,Profilés,Profilés,667,5107.6
ART16457,Kit Standard,Île-de-France,Site Île-de-France 3,Site Île-de-France 3-Ag3,Menuiserie,Portes,Portes,84,9660.96
ART83521,Set Expert,Île-de-France,Site Île-de-France 1,Site Île-de-France 1-Ag4,Plâtre,Enduits,Enduits,372,1968.37
ART93861,Cadre Alu,Sud,Site Sud 2,Site Sud 2-Ag1,Plâtre,Profilés,Profilés,107,2427.32
ART28957,Ligne Basic,Nord,Site Nord 3,Site Nord 3-Ag1,Isolation,Panneaux,Panneaux,436,8704.06
ART89030,Battant Pro,Est,Site Est 1,Site Est 1-Ag2,Plâtre,Plaques,Plaques,447,1000.8
ART23785,Ligne Basic,Sud,Site Sud 2,Site Sud 2-Ag2,Plâtre,Profilés,Profilés,91,635.78
ART16556,Kit Standard,Ouest,Site Ouest 2,Site Ouest 2-Ag3,Outillage,Manuel,Manuel,508,13433.88
ART62528,Battant Pro,Ouest,Site Ouest 3,Site Ouest 3-Ag4,Couverture,Zinguerie,Zinguerie,240,1426.12
ART77585,Set Expert,Île-de-France,Site Île-de-France 2,Site Île-de-France 2-Ag3,Plâtre,Plaques,Plaques,624,18367.12
ART90485,Bloc Confort,Nord,Site Nord 2,Site Nord 2-Ag2,Outillage,Manuel,Manuel,663,19416.29
ART46243,Cadre Alu,Nord,Site Nord 1,Site Nord 1-Ag3,Isolation,Panneaux,Panneaux,356,8888.61
ART21816,Set Expert,Ouest,Site Ouest 1,Site Ouest 1-Ag3,Plâtre,Enduits,Enduits,308,1928.53
ART94574,Gamme Plus,Ouest,Site Ouest 1,Site Ouest 1-Ag4,Isolation,Laine,Laine,14,159.3
ART35248,Cadre Alu,Ouest,Site Ouest 3,Site Ouest 3-Ag1,Outillage,Mesure,Mesure,467,5990.02
ART79217,Ligne Basic,Sud,Site Sud 2,Site Sud 2-Ag3,Isolation,Vrac,Vrac,637,5008.81
ART56754,Kit Standard,Est,Site Est 3,Site Est 3-Ag4,Isolation,Vrac,Vrac,179,3157.32
ART42630,Kit Standard,Est,Site Est 3,Site Est 3-Ag3,Isolation,Panneaux,Panneaux,17,179.84
ART49848,Set Expert,Nord,Site Nord 3,Site Nord 3-Ag2,Couverture,Étanchéité,Étanchéité,597,5711.3
ART94246,Ligne Basic,Île-de-France,Site Île-de-France 1,Site Île-de-France 1-Ag4,Outillage,Mesure,Mesure,171,11293.78
ART72984,Cheneau Eco,Nord,Site Nord 2,Site Nord 2-Ag2,Isolation,Vrac,Vrac,535,13943.32
ART35776,Cheneau Eco,Ouest,Site Ouest 2,Site Ouest 2-Ag2,Isolation,Panneaux,Panneaux,203,1707.57
ART50901,Gamme Plus,Ouest,Site Ouest 1,Site Ouest 1-Ag2,Couverture,Tuiles,Tuiles,602,3081.79
ART50553,Ligne Basic,Nord,Site Nord 1,Site Nord 1-Ag2,Couverture,Tuiles,Tuiles,97,1400.58
ART36067,Ligne Basic,Sud,Site Sud 3,Site Sud 3-Ag4,Menuiserie,Fenêtres,Fenêtres,108,8217.6
ART30124,Set Expert,Ouest,Site Ouest 2,Site Ouest 2-Ag4,Menuiserie,Fenêtres,Fenêtres,97,7105.46
ART31928,Bloc Confort,Est,Site Est 2,Site Est 2-Ag3,Menuiserie,Fenêtres,Fenêtres,582,18713.5
ART71504,Set Expert,Sud,Site Sud 1,Site Sud 1-Ag1,Isolation,Vrac,Vrac,457,13698.27
ART43185,Set Expert,Nord,Site Nord 1,Site Nord 1-Ag1,Couverture,Tuiles,Tuiles,223,2706.02
ART45520,Cadre Alu,Ouest,Site Ouest 3,Site Ouest 3-Ag2,Outillage,Électroportatif,Électroportatif,551,21720.37
ART61287,Ligne Basic,Sud,Site Sud 1,Site Sud 1-Ag1,Isolation,Vrac,Vrac,561,7475.76
ART30402,Battant Pro,Île-de-France,Site Île-de-France 2,Site Île-de-France 2-Ag1,Menuiserie,Volets,Volets,108,6589.71
ART40798,Cheneau Eco,Nord,Site Nord 3,Site Nord 3-Ag4,Plâtre,Profilés,Profilés,542,1970.22
ART13910,Battant Pro,Nord,Site Nord 2,Site Nord 2-Ag4,Menuiserie,Volets,Volets,602,44032.16
ART58490,Gamme Plus,Est,Site Est 1,Site Est 1-Ag3,Outillage,Manuel,Manuel,516,9595.27
ART96564,Battant Pro,Ouest,Site Ouest 2,Site Ouest 2-Ag4,Plâtre,Plaques,Plaques,258,1958.39
ART72923,Ligne Basic,Ouest,Site Ouest 1,Site Ouest 1-Ag2,Menuiserie,Portes,Portes,124,4950.19
ART95766,Ligne Basic,Île-de-France,Site Île-de-France 1,Site Île-de-France 1-Ag4,Menuiserie,Fenêtres,Fenêtres,457,30198.28
ART32671,Set Expert,Île-de-France,Site Île-de-France 3,Site Île-de-France 3-Ag2,Couverture,Zinguerie,Zinguerie,135,999.66
ART57745,Battant Pro,Nord,Site Nord 2,Site Nord 2-Ag1,Plâtre,Profilés,Profilés,386,11672.56
ART19343,Gamme Plus,Île-de-France,Site Île-de-France 1,Site Île-de-France 1-Ag4,Isolation,Panneaux,Panneaux,340,2898.32
ART50541,Bloc Confort,Sud,Site Sud 1,Site Sud 1-Ag2,Plâtre,Plaques,Plaques,270,2937.61
ART79617,Set Expert,Ouest,Site Ouest 2,Site Ouest 2-Ag4,Isolation,Vrac,Vrac,47,89.43
ART52719,Battant Pro,Ouest,Site Ouest 3,Site Ouest 3-Ag4,Menuiserie,Fenêtres,Fenêtres,623,37843.95
ART90309,Battant Pro,Sud,Site Sud 1,Site Sud 1-Ag1,Outillage,Manuel,Manuel,410,6188.98
ART26226,Cadre Alu,Est,Site Est 2,Site Est 2-Ag4,Outillage,Électroportatif,Électroportatif,296,4364.87
ART47681,Cheneau Eco,Sud,Site Sud 3,Site Sud 3-Ag3,Outillage,Électroportatif,Électroportatif,39,1030.42
ART51384,Bloc Confort,Île-de-France,Site Île-de-France 1,Site Île-de-France 1-Ag1,Couverture,Tuiles,Tuiles,650,2503.89
ART22891,Ligne Basic,Est,Site Est 3,Site Est 3-Ag3,Menuiserie,Volets,Volets,596,48448.6
ART92417,Gamme Plus,Est,Site Est 1,Site Est 1-Ag3,Menuiserie,Volets,Volets,281,10876.5
ART81532,Bloc Confort,Île-de-France,Site Île-de-France 3,Site Île-de-France 3-Ag2,Menuiserie,Fenêtres,Fenêtres,685,47804.67
ART12794,Bloc Confort,Est,Site Est 3,Site Est 3-Ag4,Menuiserie,Portes,Portes,225,9584.41
ART82184,Ligne Basic,Est,Site Est 2,Site Est 2-Ag4,Outillage,Mesure,Mesure,286,7517.29
ART36209,Set Expert,Ouest,Site Ouest 2,Site Ouest 2-Ag2,Outillage,Mesure,Mesure,231,7865.65
ART37511,Cheneau Eco,Sud,Site Sud 2,Site Sud 2-Ag1,Plâtre,Enduits,Enduits,225,2735.57
ART57918,Cadre Alu,Est,Site Est 3,Site Est 3-Ag4,Isolation,Vrac,Vrac,272,1710.56
ART69090,Ligne Basic,Est,Site Est 3,Site Est 3-Ag1,Couverture,Étanchéité,Étanchéité,649,9263.7
ART94211,Set Expert,Île-de-France,Site Île-de-France 2,Site Île-de-France 2-Ag1,Outillage,Électroportatif,Électroportatif,646,27391.93
ART28277,Kit Standard,Île-de-France,Site Île-de-France 1,Site Île-de-France 1-Ag2,Plâtre,Plaques,Plaques,19,343.36
ART86579,Bloc Confort,Est,Site Est 3,Site Est 3-Ag2,Menuiserie,Portes,Portes,550,23445.26
ART31663,Ligne Basic,Nord,Site Nord 1,Site Nord 1-Ag3,Outillage,Mesure,Mesure,113,3313.91
ART62164,Cadre Alu,Nord,Site Nord 3,Site Nord 3-Ag4,Couverture,Étanchéité,Étanchéité,599,2904.85
