code_article,libelle,region,site,agence,famille,sous_famille,sous_famille_base,quantite,CA
ART46695,Kit Standard,Nord,Site Nord 3,Site Nord 3-Ag4,Menuiserie,Fenêtres,Fenêtres,402.0,12280.08
ART85807,Cheneau Eco,Est,Site Est 3,Site Est 3-Ag4,Menuiserie,Portes,Portes,270000.0,9972.2
ART30452,Cadre Alu,Ouest,Site Ouest 2,Site Ouest 2-Ag4,,Électroportatif,Électroportatif,625.0,25993.96
ART41792,Bloc Confort,Sud,Site Sud 3,Site Sud 3-Ag1,Couverture,Tuiles,Tuiles,409.0,2933.6
ART51406,Bloc Confort,Est,Site Est 3,Site Est 3-Ag1,Plâtre,Plaques,Plaques,663.0,10485.71
ART36523,Gamme Plus,Île-de-France,Site Île-de-France 1,Site Île-de-France 1-Ag1,Isolation,Panneaux,Panneaux,89.0,1369.13
ART17680,Set Expert,Île-de-France,Site Île-de-France 1,Site Île-de-France 1-Ag3,Outillage,Électroportatif,Électroportatif,37.0,1545.14
ART17437,Bloc Confort,Île-de-France,Site Île-de-France 2,Site Île-de-France 2-Ag2,Couverture,Zinguerie,Zinguerie,382000.0,6496.06
ART36432,Cheneau Eco,,Site Sud 3,Site Sud 3-Ag4,Couverture,Tuiles,Tuiles,694.0,3250.81
ART13130,Kit Standard,OUEST,Site Ouest 3,Site Ouest 3-Ag3,Couverture,,Étanchéité,117.0,299.98
ART61067,Ligne Basic,Île-de-France,Site Île-de-France 1,Site Île-de-France 1-Ag4,,Manuel,Manuel,318.0,9769.59
ART59531,Cadre Alu,Ouest,Site Ouest 2,Site Ouest 2-Ag3,,Enduits,Enduits,,13005.36
ART94664,Battant Pro,Nord,Site Nord 1,Site Nord 1-Ag4,,Enduits,Enduits,329.0,1895.94
ART24644,Bloc Confort,Nord,Site Nord 1,Site Nord 1-Ag4,Couverture,Tuiles,Tuiles,21.0,175.04
ART35075,Cheneau Eco,,Site Sud 3,Site Sud 3-Ag2,Plâtre,Plaques,Plaques,278.0,3700.95
ART51440,Battant Pro,Ouest,Site Ouest 1,Site Ouest 1-Ag4,Isolation,Laine,Laine,368.0,6127.11
ART51421,Battant Pro,Nord,Site Nord 3,Site Nord 3-Ag2,Isolation,Panneaux,Panneaux,42.0,790.27
ART37197,Cadre Alu,,Site Sud 1,Site Sud 1-Ag3,Couverture,Zinguerie,Zinguerie,130.0,1117.89
ART92932,Bloc Confort,Est,Site Est 2,Site Est 2-Ag2,Plâtre,,Enduits,,686.75
ART46588,Bloc Confort,,Site Est 3,Site Est 3-Ag1,,Enduits,Enduits,160.0,2134.61
ART12728,Set Expert,ÎLE-DE-FRANCE,Site Île-de-France 3,Site Île-de-France 3-Ag1,Plâtre,Plaques,Plaques,381.0,8700.6
ART68620,Bloc Confort,Sud,Site Sud 3,Site Sud 3-Ag2,,,Manuel,73.0,
ART93464,Ligne Basic,Sud,Site Sud 1,Site Sud 1-Ag4,,Laine,Laine,385.0,1338.2
ART45570,Cadre Alu,,Site Nord 1,Site Nord 1-Ag1,Plâtre,Enduits,Enduits,,
ART70450,Gamme Plus,Nord,Site Nord 1,Site Nord 1-Ag3,Menuiserie,,Portes,161.0,3817.32
ART21265,Cheneau Eco,Sud,Site Sud 1,Site Sud 1-Ag3,Outillage,Mesure,Mesure,10.0,
ART58335,Battant Pro,Île-de-France,Site Île-de-France 1,Site Île-de-France 1-Ag3,Menuiserie,Fenêtres,Fenêtres,152.0,7322.34
ART47602,Cheneau Eco,Est,Site Est 1,Site Est 1-Ag3,Plâtre,,Profilés,485.0,5997.39
ART28836,Battant Pro,Ouest,Site Ouest 3,Site Ouest 3-Ag2,Isolation,Panneaux,Panneaux,585.0,3991.03
ART28277,Kit Standard,Île-de-France,Site Île-de-France 1,Site Île-de-France 1-Ag2,Plâtre,Plaques,Plaques,19.0,
ART72008,Kit Standard,Île-de-France,Site Île-de-France 2,Site Île-de-France 2-Ag3,,Enduits,Enduits,,7108.59
ART80465,Kit Standard,Est,Site Est 2,Site Est 2-Ag3,,Laine,Laine,,1427.08
ART91501,Set Expert,Ouest,Site Ouest 2,Site Ouest 2-Ag3,,Volets,Volets,526.0,
ART91847,Ligne Basic,Île-de-France,Site Île-de-France 3,Site Île-de-France 3-Ag3,,Tuiles,Tuiles,178.0,3772.79
ART72430,Gamme Plus,Île-de-France,Site Île-de-France 1,Site Île-de-France 1-Ag3,,Étanchéité,Étanchéité,412.0,10925.82
ART33547,Ligne Basic,Nord,Site Nord 3,Site Nord 3-Ag3,Outillage,Électroportatif,Électroportatif,509.0,
ART51337,Cadre Alu,,Site Sud 1,Site Sud 1-Ag2,Plâtre,,Profilés,,6700.77
ART77743,Battant Pro,Nord,Site Nord 1,Site Nord 1-Ag2,,,Tuiles,,
ART73452,Bloc Confort,Est,Site Est 1,Site Est 1-Ag3,Outillage,Électroportatif,Électroportatif,260000.0,
ART81954,Bloc Confort,,Site Nord 2,Site Nord 2-Ag3,Outillage,,Manuel,224.0,
ART52106,Ligne Basic,,Site Ouest 3,Site Ouest 3-Ag3,Plâtre,,Enduits,160.0,2348.38
ART85237,Cheneau Eco,Île-de-France,Site Île-de-France 1,Site Île-de-France 1-Ag1,,,Zinguerie,608.0,12195.3
ART51402,Gamme Plus,Île-de-France,Site Île-de-France 1,Site Île-de-France 1-Ag4,Outillage,Électroportatif,Électroportatif,27.0,1456.65
ART26897,Gamme Plus,Nord,Site Nord 2,Site Nord 2-Ag1,Isolation,,Laine,,3320.89
ART13706,Kit Standard,Sud,Site Sud 2,Site Sud 2-Ag1,Couverture,,Tuiles,38.0,387.01
ART92282,Set Expert,Est,Site Est 1,Site Est 1-Ag2,Couverture,Zinguerie,Zinguerie,157.0,1754.61
ART20838,Ligne Basic,Nord,Site Nord 3,Site Nord 3-Ag4,Menuiserie,,Fenêtres,40.0,3643.99
ART30170,Ligne Basic,Est,Site Est 2,Site Est 2-Ag3,Isolation,Laine,Laine,88.0,
ART42289,Battant Pro,Sud,Site Sud 3,Site Sud 3-Ag1,Menuiserie,,Fenêtres,,
ART68111,Cheneau Eco,Est,Site Est 2,Site Est 2-Ag3,Menuiserie,Volets,Volets,373.0,
ART75688,Ligne Basic,,Site Est 3,Site Est 3-Ag1,Couverture,Tuiles,Tuiles,,9737.26
ART48631,Battant Pro,Sud,Site Sud 1,Site Sud 1-Ag2,Outillage,Manuel,Manuel,132.0,2289.4
ART71277,Kit Standard,Île-de-France,Site Île-de-France 1,Site Île-de-France 1-Ag4,,Électroportatif,Électroportatif,,
ART14138,Bloc Confort,Nord,Site Nord 3,Site Nord 3-Ag4,Isolation,Panneaux,Panneaux,,738.48
ART98572,Set Expert,,Site Ouest 1,Site Ouest 1-Ag3,Outillage,,Mesure,63.0,
ART80246,Bloc Confort,Ouest,Site Ouest 2,Site Ouest 2-Ag2,Plâtre,Profilés,Profilés,461.0,
ART77422,Kit Standard,Sud,Site Sud 1,Site Sud 1-Ag1,Isolation,,Laine,527.0,3288.98
ART58900,Cheneau Eco,Nord,Site Nord 3,Site Nord 3-Ag3,Isolation,Laine,Laine,,625.37
ART15811,Cadre Alu,Ouest,Site Ouest 2,Site Ouest 2-Ag4,,Profilés,Profilés,264000.0,4815.48
ART45905,Cheneau Eco,,Site Est 1,Site Est 1-Ag3,Plâtre,,Enduits,,1605.99
ART40202,Set Expert,Île-de-France,Site Île-de-France 1,Site Île-de-France 1-Ag4,,Tuiles,Tuiles,625.0,11334.08
ART90508,Ligne Basic,,Site Est 3,Site Est 3-Ag4,Isolation,Vrac,Vrac,,1807.37
ART65186,Kit Standard,Nord,Site Nord 2,Site Nord 2-Ag1,,Enduits,Enduits,541.0,2179.6
ART81383,Set Expert,EST,Site Est 1,Site Est 1-Ag1,Couverture,Zinguerie,Zinguerie,514.0,2912.63
ART75410,Cheneau Eco,Nord,Site Nord 1,Site Nord 1-Ag4,Outillage,Électroportatif,Électroportatif,569.0,26822.09
ART10549,Set Expert,Ouest,Site Ouest 2,Site Ouest 2-Ag3,Isolation,Laine,Laine,237.0,3587.42
ART13478,Ligne Basic,Île-de-France,Site Île-de-France 2,Site Île-de-France 2-Ag1,Couverture,Zinguerie,Zinguerie,,
ART87904,Bloc Confort,Est,Site Est 3,Site Est 3-Ag1,Couverture,Zinguerie,Zinguerie,504.0,5097.15
ART94303,Battant Pro,Est,Site Est 3,Site Est 3-Ag2,Menuiserie,,Fenêtres,433000.0,37931.92
ART47426,Set Expert,Ouest,Site Ouest 3,Site Ouest 3-Ag4,Couverture,Zinguerie,Zinguerie,,
ART24931,Set Expert,Nord,Site Nord 3,Site Nord 3-Ag4,Isolation,Panneaux,Panneaux,421.0,3806.01
ART42399,Ligne Basic,Nord,Site Nord 2,Site Nord 2-Ag4,Outillage,Électroportatif,Électroportatif,634.0,19493.31
ART58594,Ligne Basic,EST,Site Est 1,Site Est 1-Ag1,Outillage,Électroportatif,Électroportatif,601.0,10135.36
ART12029,Bloc Confort,,Site Nord 1,Site Nord 1-Ag1,Couverture,Étanchéité,Étanchéité,586.0,
ART73148,Battant Pro,OUEST,Site Ouest 1,Site Ouest 1-Ag3,Menuiserie,,Fenêtres,617.0,48623.42
ART30304,Kit Standard,Nord,Site Nord 3,Site Nord 3-Ag2,Couverture,Étanchéité,Étanchéité,649000.0,6459.93
ART55675,Bloc Confort,Île-de-France,Site Île-de-France 3,Site Île-de-France 3-Ag2,Plâtre,,Enduits,48.0,731.81
ART72325,Gamme Plus,Ouest,Site Ouest 3,Site Ouest 3-Ag1,,Enduits,Enduits,588000.0,12140.83
ART55692,Cheneau Eco,Sud,Site Sud 2,Site Sud 2-Ag2,Outillage,Manuel,Manuel,694.0,24993.33
ART43375,Gamme Plus,Nord,Site Nord 1,Site Nord 1-Ag4,Menuiserie,Volets,Volets,628.0,43564.13
ART17389,Kit Standard,Est,Site Est 2,Site Est 2-Ag3,Couverture,,Tuiles,140.0,446.59
ART77121,Battant Pro,Ouest,Site Ouest 1,Site Ouest 1-Ag4,,,Mesure,,12672.01
ART77867,Cheneau Eco,,Site Île-de-France 3,Site Île-de-France 3-Ag2,Outillage,Électroportatif,Électroportatif,524000.0,17067.79
ART11920,Battant Pro,Nord,Site Nord 2,Site Nord 2-Ag4,Couverture,Tuiles,Tuiles,,523.09
ART14850,Cheneau Eco,,Site Nord 3,Site Nord 3-Ag4,Couverture,,Étanchéité,535.0,
ART65214,Bloc Confort,Ouest,Site Ouest 1,Site Ouest 1-Ag4,Outillage,Manuel,Manuel,529.0,32948.15
ART99928,Gamme Plus,Sud,Site Sud 1,Site Sud 1-Ag3,,Étanchéité,Étanchéité,186.0,4013.96
ART24563,Set Expert,Ouest,Site Ouest 2,Site Ouest 2-Ag2,,Électroportatif,Électroportatif,547.0,
ART14024,Cadre Alu,Ouest,Site Ouest 1,Site Ouest 1-Ag2,Couverture,Étanchéité,Étanchéité,195.0,
ART38588,Set Expert,Est,Site Est 2,Site Est 2-Ag3,,Vrac,Vrac,287.0,
ART47846,Cheneau Eco,Ouest,Site Ouest 2,Site Ouest 2-Ag2,Isolation,Panneaux,Panneaux,,
ART12977,Ligne Basic,Nord,Site Nord 2,Site Nord 2-Ag3,Couverture,Zinguerie,Zinguerie,,
ART19608,Cadre Alu,Nord,Site Nord 1,Site Nord 1-Ag3,Menuiserie,Fenêtres,Fenêtres,316.0,16015.7
ART28860,Battant Pro,,Site Île-de-France 3,Site Île-de-France 3-Ag3,Isolation,Panneaux,Panneaux,,1094.3
ART59364,Cadre Alu,Île-de-France,Site Île-de-France 2,Site Île-de-France 2-Ag4,Outillage,Mesure,Mesure,295.0,15274.53
ART99084,Battant Pro,Est,Site Est 1,Site Est 1-Ag3,Plâtre,,Profilés,,2419.64
ART84814,Cadre Alu,Est,Site Est 2,Site Est 2-Ag4,Isolation,Laine,Laine,151.0,2827.43
ART62854,Battant Pro,,Site Ouest 2,Site Ouest 2-Ag4,Plâtre,Enduits,Enduits,5.0,127.15
ART50708,Cheneau Eco,Nord,Site Nord 1,Site Nord 1-Ag3,Menuiserie,Fenêtres,Fenêtres,,8178.54
ART54672,Battant Pro,Île-de-France,Site Île-de-France 3,Site Île-de-France 3-Ag4,Outillage,Manuel,Manuel,,1237.14
ART52598,Set Expert,Nord,Site Nord 1,Site Nord 1-Ag1,Isolation,Panneaux,Panneaux,199.0,-838.92
ART92531,Cadre Alu,Île-de-France,Site Île-de-France 2,Site Île-de-France 2-Ag1,Couverture,,Tuiles,165.0,
ART61537,Battant Pro,Ouest,Site Ouest 3,Site Ouest 3-Ag2,,Vrac,Vrac,697.0,9300.19
ART48442,Set Expert,Ouest,Site Ouest 1,Site Ouest 1-Ag1,Couverture,Tuiles,Tuiles,,3393.9
ART98807,Cheneau Eco,,Site Sud 1,Site Sud 1-Ag3,Couverture,Tuiles,Tuiles,307.0,2445.34
ART52688,Ligne Basic,Est,Site Est 3,Site Est 3-Ag2,,Mesure,Mesure,512.0,4746.08
ART77026,Ligne Basic,,Site Sud 3,Site Sud 3-Ag4,Plâtre,,Enduits,177.0,3162.1
ART11651,Cheneau Eco,Ouest,Site Ouest 3,Site Ouest 3-Ag1,Plâtre,Profilés,Profilés,637.0,16400.64
ART14377,Bloc Confort,,Site Est 3,Site Est 3-Ag4,Couverture,Tuiles,Tuiles,177.0,645.22
ART69501,Ligne Basic,Est,Site Est 3,Site Est 3-Ag4,Couverture,Zinguerie,Zinguerie,,10442.09
ART53863,Cadre Alu,SUD,Site Sud 2,Site Sud 2-Ag3,Menuiserie,Fenêtres,Fenêtres,2.0,97.5
ART13678,Set Expert,Ouest,Site Ouest 1,Site Ouest 1-Ag2,Menuiserie,Portes,Portes,76.0,1873.59
ART24470,Cheneau Eco,Ouest,Site Ouest 2,Site Ouest 2-Ag4,Outillage,Électroportatif,Électroportatif,25.0,373.36
ART95864,Set Expert,Île-de-France,Site Île-de-France 2,Site Île-de-France 2-Ag1,Outillage,Mesure,Mesure,400.0,5064.56
ART93091,Kit Standard,Sud,Site Sud 3,Site Sud 3-Ag4,Outillage,,Électroportatif,140.0,
ART20364,Battant Pro,Ouest,Site Ouest 3,Site Ouest 3-Ag1,Plâtre,Profilés,Profilés,620.0,3915.55
ART37752,Bloc Confort,ÎLE-DE-FRANCE,Site Île-de-France 2,Site Île-de-France 2-Ag4,Plâtre,Enduits,Enduits,82.0,
ART44382,Battant Pro,Ouest,Site Ouest 2,Site Ouest 2-Ag4,Outillage,Mesure,Mesure,,19733.6
ART14037,Battant Pro,Est,Site Est 2,Site Est 2-Ag4,Isolation,,Vrac,429.0,6771.88
ART79840,Bloc Confort,Ouest,Site Ouest 1,Site Ouest 1-Ag2,Couverture,Étanchéité,Étanchéité,164.0,3077.37
ART47309,Kit Standard,,Site Nord 3,Site Nord 3-Ag3,Isolation,,Panneaux,617.0,9769.26
ART74003,Ligne Basic,Est,Site Est 3,Site Est 3-Ag3,Couverture,Étanchéité,Étanchéité,545.0,10862.52
ART11427,Gamme Plus,Est,Site Est 3,Site Est 3-Ag4,,,Volets,5.0,397.52
ART63839,Kit Standard,Île-de-France,Site Île-de-France 2,Site Île-de-France 2-Ag3,Menuiserie,Portes,Portes,363.0,27591.06
ART28709,Set Expert,,Site Est 1,Site Est 1-Ag4,,Vrac,Vrac,129.0,
ART22218,Gamme Plus,EST,Site Est 1,Site Est 1-Ag1,Couverture,Étanchéité,Étanchéité,,
ART49768,Cadre Alu,Sud,Site Sud 1,Site Sud 1-Ag2,Menuiserie,Fenêtres,Fenêtres,443.0,28938.65
ART19177,Kit Standard,Nord,Site Nord 1,Site Nord 1-Ag4,Plâtre,,Plaques,639.0,6872.4
ART89479,Cadre Alu,Est,Site Est 2,Site Est 2-Ag4,Plâtre,Enduits,Enduits,424.0,
ART19569,Cadre Alu,Ouest,Site Ouest 2,Site Ouest 2-Ag3,,Plaques,Plaques,375.0,909.13
ART30842,Bloc Confort,Sud,Site Sud 3,Site Sud 3-Ag2,,Plaques,Plaques,655.0,22893.02
ART56043,Ligne Basic,Est,Site Est 1,Site Est 1-Ag3,Couverture,Zinguerie,Zinguerie,585.0,1468.32
ART76190,Battant Pro,ÎLE-DE-FRANCE,Site Île-de-France 2,Site Île-de-France 2-Ag3,Couverture,Tuiles,Tuiles,343.0,1332.94
ART18266,Set Expert,Ouest,Site Ouest 2,Site Ouest 2-Ag2,,Laine,Laine,275.0,809.86
ART10115,Cadre Alu,Est,Site Est 2,Site Est 2-Ag3,Outillage,Électroportatif,Électroportatif,158.0,4857.45
ART39960,Set Expert,Nord,Site Nord 1,Site Nord 1-Ag2,Plâtre,Profilés,Profilés,269.0,5650.71
ART52659,Gamme Plus,Sud,Site Sud 1,Site Sud 1-Ag3,Plâtre,Enduits,Enduits,688.0,13145.13
ART23543,Bloc Confort,Est,Site Est 3,Site Est 3-Ag1,Isolation,Panneaux,Panneaux,55.0,290.31
ART65318,Set Expert,Ouest,Site Ouest 1,Site Ouest 1-Ag4,Couverture,Tuiles,Tuiles,182.0,1960.54
ART98097,Battant Pro,Ouest,Site Ouest 2,Site Ouest 2-Ag1,Menuiserie,Fenêtres,Fenêtres,108.0,9347.56
ART62300,Set Expert,Ouest,Site Ouest 2,Site Ouest 2-Ag2,Menuiserie,Volets,Volets,585.0,19536.09
ART70580,Gamme Plus,Est,Site Est 2,Site Est 2-Ag1,Menuiserie,Portes,Portes,438.0,24690.99
ART14577,Gamme Plus,Sud,Site Sud 2,Site Sud 2-Ag4,Menuiserie,Volets,Volets,369.0,-9818.2
ART41447,Cheneau Eco,Nord,Site Nord 3,Site Nord 3-Ag3,,Portes,Portes,329.0,15302.95
ART97195,Kit Standard,Ouest,Site Ouest 3,Site Ouest 3-Ag3,Isolation,,Vrac,,4017.9
ART28920,Ligne Basic,Ouest,Site Ouest 3,Site Ouest 3-Ag4,Couverture,Étanchéité,Étanchéité,531.0,4309.69
ART92771,Cheneau Eco,EST,Site Est 1,Site Est 1-Ag2,Menuiserie,,Portes,653.0,
ART39509,Bloc Confort,Ouest,Site Ouest 2,Site Ouest 2-Ag1,Isolation,Vrac,Vrac,387.0,5644.85
ART96308,Gamme Plus,,Site Île-de-France 2,Site Île-de-France 2-Ag4,,Fenêtres,Fenêtres,299.0,31675.69
ART46043,Kit Standard,Île-de-France,Site Île-de-France 1,Site Île-de-France 1-Ag1,Menuiserie,Fenêtres,Fenêtres,345.0,
ART78086,Bloc Confort,Nord,Site Nord 3,Site Nord 3-Ag1,Isolation,Vrac,Vrac,272.0,4406.52
ART33884,Cheneau Eco,OUEST,Site Ouest 2,Site Ouest 2-Ag4,Couverture,,Zinguerie,277.0,
ART74119,Bloc Confort,,Site Nord 2,Site Nord 2-Ag1,Plâtre,Plaques,Plaques,115000.0,2637.17
ART57053,Cadre Alu,Est,Site Est 3,Site Est 3-Ag2,Plâtre,Plaques,Plaques,31.0,879.71
ART73082,Cadre Alu,Ouest,Site Ouest 2,Site Ouest 2-Ag2,Plâtre,Profilés,Profilés,89.0,1716.61
ART75769,Bloc Confort,Est,Site Est 3,Site Est 3-Ag1,,,Laine,305.0,
ART79685,Set Expert,EST,Site Est 3,Site Est 3-Ag1,Plâtre,Profilés,Profilés,277.0,
ART65117,Battant Pro,Ouest,Site Ouest 2,Site Ouest 2-Ag3,Plâtre,,Plaques,133.0,3356.13
ART57943,Ligne Basic,Est,Site Est 1,Site Est 1-Ag4,Plâtre,,Profilés,87.0,1709.06
ART38123,Set Expert,Sud,Site Sud 3,Site Sud 3-Ag1,Couverture,Zinguerie,Zinguerie,10.0,139.62
ART61823,Kit Standard,Sud,Site Sud 3,Site Sud 3-Ag4,Couverture,Étanchéité,Étanchéité,571.0,11332.72
ART52435,Bloc Confort,Nord,Site Nord 2,Site Nord 2-Ag4,Couverture,Zinguerie,Zinguerie,349.0,3648.04
ART47432,Set Expert,Ouest,Site Ouest 3,Site Ouest 3-Ag2,Couverture,,Tuiles,553.0,11959.19
ART64369,Gamme Plus,Nord,Site Nord 2,Site Nord 2-Ag2,,Fenêtres,Fenêtres,148.0,10155.62
ART17461,Set Expert,Île-de-France,Site Île-de-France 2,Site Île-de-France 2-Ag3,Isolation,Panneaux,Panneaux,485.0,2964.26
ART98277,Kit Standard,Sud,Site Sud 3,Site Sud 3-Ag3,,,Électroportatif,8.0,424.12
ART50796,Ligne Basic,Est,Site Est 1,Site Est 1-Ag3,Couverture,Zinguerie,Zinguerie,120.0,344.89
ART13342,Ligne Basic,Est,Site Est 2,Site Est 2-Ag3,Isolation,,Laine,157000.0,3651.78
ART73733,Gamme Plus,Est,Site Est 2,Site Est 2-Ag4,Couverture,Zinguerie,Zinguerie,262.0,3241.19
ART28161,Cheneau Eco,,Site Est 2,Site Est 2-Ag4,Isolation,Laine,Laine,,3876.55
ART43960,Bloc Confort,OUEST,Site Ouest 2,Site Ouest 2-Ag3,Isolation,Laine,Laine,390000.0,2652.54
ART37884,Gamme Plus,,Site Ouest 2,Site Ouest 2-Ag2,Couverture,,Tuiles,325.0,
ART89100,Battant Pro,Est,Site Est 3,Site Est 3-Ag2,,Panneaux,Panneaux,486000.0,7445.41
ART92079,Cheneau Eco,Est,Site Est 2,Site Est 2-Ag3,,Fenêtres,Fenêtres,333.0,
ART28673,Battant Pro,Est,Site Est 1,Site Est 1-Ag1,Outillage,Électroportatif,Électroportatif,336.0,
ART93888,Cheneau Eco,,Site Île-de-France 2,Site Île-de-France 2-Ag1,Isolation,Laine,Laine,418.0,1881.97
ART55351,Bloc Confort,Sud,Site Sud 1,Site Sud 1-Ag3,Outillage,Manuel,Manuel,468.0,26618.62
ART91964,Ligne Basic,Nord,Site Nord 3,Site Nord 3-Ag4,Menuiserie,Volets,Volets,370.0,19377.81
ART69371,Kit Standard,Est,Site Est 2,Site Est 2-Ag4,Plâtre,Plaques,Plaques,362.0,6770.45
ART61922,Ligne Basic,,Site Nord 2,Site Nord 2-Ag3,Menuiserie,Fenêtres,Fenêtres,,22381.04
ART51692,Ligne Basic,,Site Est 3,Site Est 3-Ag2,Isolation,Panneaux,Panneaux,379.0,4872.98
ART25451,Cheneau Eco,Sud,Site Sud 3,Site Sud 3-Ag4,,Étanchéité,Étanchéité,339.0,3106.01
ART13690,Cheneau Eco,Est,Site Est 1,Site Est 1-Ag2,,Vrac,Vrac,556.0,10912.9
